Normalized	Original	Bamfile	Location	Source	Subplate	Size (GB)	Type
ACC-1555-5-1	ACC-1555-5-1	ACC-1555-5-1.bam	/projects/gleeson-storage2/escott/aligned/ACC-1555-5-1.bam	PlateIV	PlateIV_3	14.9	Exome
ACC-1555-5-2	ACC-1555-5-2	ACC-1555-5-2.bam	/projects/gleeson-storage2/escott/aligned/ACC-1555-5-2.bam	PlateIV	PlateIV_1	7.82	Exome
ACC-1585-3-1	ACC-1585-3-1	ACC-1585-3-1.bam	/projects/gleeson-storage2/escott/aligned/ACC-1585-3-1.bam	PlateIV	PlateIV_2	13.58	Exome
ACC-1585-3-2	ACC-1585-3-2	ACC-1585-3-2.bam	/projects/gleeson-storage2/escott/aligned/ACC-1585-3-2.bam	PlateV	N/A	9.99	Exome
ACC-1612-6-1	ACC-1612-6-1	ACC-1612-6-1.bam	/projects/gleeson-storage2/escott/aligned/ACC-1612-6-1.bam	PlateV	N/A	12.07	Exome
ACC-1612-6-2	ACC-1612-6-2	ACC-1612-6-2.bam	/projects/gleeson-storage2/escott/aligned/ACC-1612-6-2.bam	PlateV	N/A	13.44	Exome
ACC-386-4-4	ACC-386-4-4	ACC-386-4-4.bam	/projects/gleeson-storage2/escott/aligned/ACC-386-4-4.bam	PlateV	N/A	13.17	Exome
ACC-386-4-8	ACC-386-4-8	ACC-386-4-8.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/ACC-386-4-8.bam	PlateI	PlateI	27.91	Exome
ACC-388-II-3-1	ACC-388-II-3-1	ACC-388-II-3-1.bam	/projects/gleeson-storage2/escott/aligned/ACC-388-II-3-1.bam	PlateIV	PlateIV_1	7.17	Exome
ACC-388-II-3-2	ACC-388-II-3-2	ACC-388-II-3-2.bam	/projects/gleeson-storage2/escott/aligned/ACC-388-II-3-2.bam	PlateV	N/A	8.62	Exome
ACC-532-3-2	ACC-532-3-2	ACC-532-3-2.bam	/projects/gleeson-storage2/escott/aligned/ACC-532-3-2.bam	PlateIV	PlateIV_2	12.82	Exome
ACC-590-4-1	ACC-590-4-1_wex1	ACC-590-4-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/ACC-590-4-1_wex1.bam	PlateIII	PlateIII	11.36	Exome
ACC-590-4-2	ACC-590-4-2	ACC-590-4-2.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/ACC-590-4-2.bam	PlateII	PlateII	13.3	Exome
ACC-757-3-2	ACC-757-3-2	ACC-757-3-2.bam	/projects/gleeson-storage2/escott/aligned/ACC-757-3-2.bam	PlateIV	PlateIV_1	7.39	Exome
ACC-757-3-4	ACC-757-3-4	ACC-757-3-4.bam	/projects/gleeson-storage2/escott/aligned/ACC-757-3-4.bam	PlateIV	PlateIV_2	12.49	Exome
ACV-535-4-2	ACV-535-4-2	ACV-535-4-2.bam	/projects/gleeson-storage2/escott/aligned/ACV-535-4-2.bam	PlateIV	PlateIV_2	12.83	Exome
AEM-1364-5-1	AEM-1364-5-1	AEM-1364-5-1.bam	/projects/gleeson-storage2/escott/aligned/AEM-1364-5-1.bam	PlateIV	PlateIV_0	11.76	Exome
AEM-1364-5-2	AEM-1364-5-2	AEM-1364-5-2.bam	/projects/gleeson-storage2/escott/aligned/AEM-1364-5-2.bam	PlateV	N/A	12.66	Exome
AEM-1374-4-1	AEM-1374-4-1_wex1	AEM-1374-4-1_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/AEM-1374-4-1_wex1.bam	PlateIII	PlateIII	11.13	Exome
AEM-1374-4-4	AEM-1374-4-4	AEM-1374-4-4.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/AEM-1374-4-4.bam	PlateII	PlateII	14.59	Exome
AEM-1715-6-1	AEM-1715-6-1	AEM_1715_6_1.bam	/projects/gleeson-storage/escott/cidr2/aligned/AEM_1715_6_1.bam	CIDR2	N/A	15.2	Exome
AEM-1715-6-2	AEM-1715-6-2	AEM_1715_6_2.bam	/projects/gleeson-storage/escott/cidr2/aligned/AEM_1715_6_2.bam	CIDR2	N/A	18.15	Exome
AEM-173-4-27	1AS-4-27_wex1	1AS-4-27_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/1AS-4-27_wex1.bam	PlateIII	PlateIII	10.63	Exome
AEM-173-4-29	AEM-173-4-29	AEM-173-4-29.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/1AS-4-29_wex1.bam	PlateIII	PlateIII	10.4	Exome
AEM-1730-5-1	AEM-1730-5-1	AEM_1730_5_1.bam	/projects/gleeson-storage/escott/cidr2/aligned/AEM_1730_5_1.bam	CIDR2	N/A	16.54	Exome
AEM-1730-5-2	AEM-1730-5-2	AEM_1730_5_2.bam	/projects/gleeson-storage/escott/cidr2/aligned/AEM_1730_5_2.bam	CIDR2	N/A	13.24	Exome
AEM-1731-4-2	AEM-1731-4-2	AEM-1731-4-2.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/AEM-1731-4-2.bam	Plate5	N/A	10.58	Exome
AEM-1731-4-3	AEM-1731-4-3	AEM-1731-4-3.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/AEM-1731-4-3.bam	Plate5	N/A	6.66	Exome
AEM-1731-4-4	NDS-1731-4-4	NDS-1731-4-4.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-1731-4-4.bam	Plate5	N/A	10.01	Exome
AEM-1731-4-4	AEM-1731-4-4	AEM-1731-4-4.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/AEM-1731-4-4.bam	Plate5	N/A	10.01	Duplicate
AEM-1781-3-1	NDS-1781-3-1	NDS-1781-3-1.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-1781-3-1.bam	Plate5	N/A	11.1	Exome
AEM-1781-3-1	AEM-1781-3-1	AEM-1781-3-1.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/AEM-1781-3-1.bam	Plate5	N/A	11.1	Duplicate
AEM-1781-3-4	AEM-1781-3-4	AEM-1781-3-4.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/AEM-1781-3-4.bam	Plate5	N/A	9.53	Exome
AEM-1978-3-4	NDS-1978-3-4	NDS-1978-3-4.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1978-3-4.bam	PlateVI	PlateVI	8.92	Exome
AEM-1978-3-5	NDS-1978-3-5	NDS-1978-3-5.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1978-3-5.bam	PlateVI	PlateVI	8.62	Exome
AEM-1979-I-3-1	NDS-1979-I-3-1	NDS-1979-I-3-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1979-I-3-1.bam	PlateVI	PlateVI	8.61	Exome
AEM-1979-II-3-2	NDS-1979-II-3-2	NDS-1979-II-3-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1979-II-3-2.bam	PlateVI	PlateVI	5.99	Exome
AEM-1985-3-1	NDS-1985-3-1	NDS-1985-3-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1985-3-1.bam	PlateVI	PlateVI	8.91	Exome
AEM-1985-3-5	NDS-1985-3-5	NDS-1985-3-5.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1985-3-5.bam	PlateVI	PlateVI	5.9	Exome
AEM-1986-3-4	NDS-1986-3-4	NDS-1986-3-4.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1986-3-4.bam	PlateVI	PlateVI	8.04	Exome
AEM-1986-3-5	NDS-1986-3-5	NDS-1986-3-5.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1986-3-5.bam	PlateVI	PlateVI	7.99	Exome
AEM-1987-3-2	NDS-1987-3-2	NDS-1987-3-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1987-3-2.bam	PlateVI	PlateVI	7.24	Exome
AEM-1987-3-6	NDS-1987-3-6	NDS-1987-3-6.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1987-3-6.bam	PlateVI	PlateVI	7.66	Exome
AEM-1996-3-1	NDS-1996-3-1	NDS-1996-3-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1996-3-1.bam	PlateVI	PlateVI	6.46	Exome
AEM-1996-3-2	NDS-1996-3-2	NDS-1996-3-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-1996-3-2.bam	PlateVI	PlateVI	10.24	Exome
AEM-2047-3-1	NDS-2047-3-1	NDS-2047-3-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2047-3-1.bam	PlateVI	PlateVI	7.79	Exome
AEM-2047-3-5	NDS-2047-3-5	NDS-2047-3-5.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2047-3-5.bam	PlateVI	PlateVI	10.2	Exome
AEM-2059-3-1	NDS-2059-3-1	NDS-2059-3-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2059-3-1.bam	PlateVI	PlateVI	6.98	Exome
AEM-2059-3-3	NDS-2059-3-3	NDS-2059-3-3.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2059-3-3.bam	PlateVI	PlateVI	7.84	Exome
AEM-350-3-5	AEM-350-3-5_wex1	AEM-350-3-5_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/AEM-350-3-5_wex1.bam	PlateIII	PlateIII	10.47	Exome
AEM-350-3-6	AEM-350-3-6	AEM-350-3-6.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/AEM-350-3-6.bam	PlateI	PlateI	23.94	Exome
AEM-558-3-3	AEM-558-3-3	AEM-558-3-3.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/AEM-558-3-3.bam	PlateI	PlateI	23.39	Exome
AFD-1909	AFD-1909	AFD-1909.bam	/projects/gleeson-storage/escott/nadia/hg19aligned/1-280C1.sorted.realigned.ided.recal.bam	Plate_nadia	N/A	5.37	Exome
AGS-1411-4-2	AGS-1411-4-2	AGS-1411-4-2.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/AGS-1411-4-2.bam	PlateII	PlateII	15.49	Exome
AGS-1412-2-1	AGS-1412-2-1	AGS-1412-2-1.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/AGS-1412-2-1.bam	PlateII	PlateII	5.92	Exome
ALGS-1459-3-2	ALGS-1459-3-2	ALGS-1459-3-2.bam	/projects/gleeson-storage2/escott/aligned/ALGS-1459-3-2.bam	PlateV	N/A	11.55	Exome
ALGS-1460-3-1	ALGS-1460-3-1	ALGS-1460-3-1.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/ALGS-1460-3-1.bam	PlateI	PlateI	23.65	Exome
ALGS-1527-3-1	ALGS-1527-3-1	ALGS-1527-3-1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/ALGS-1527-3-1.bam	PlateII	PlateIII/PlateII	23.97	Exome
AMR-2197-5-1	NDS-2197-5-1	NDS-2197-5-1.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2197-5-1.bam	Plate7		11.77	Exome
AMR-2197-5-2	NDS-2197-5-2	NDS-2197-5-2.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-2197-5-2.bam	Plate7		11.64	Exome
ARA-1409-3-3	ARA-1409-3-3	ARA-1409-3-3.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/ARA-1409-3-3.bam	PlateI	PlateI	25.67	Exome
ARA-1702-4-3	ARA-1702-4-3	ARA_1702_4_3.bam	/projects/gleeson-storage/escott/cidr2/aligned/ARA_1702_4_3.bam	CIDR2	N/A	22.49	Exome
ARA-789-II-4-3	ARA-789-II-4-3	ARA-789-II-4-3.bam	/projects/gleeson-storage/escott/PlateV/bamfiles_b/NDS-789-II-4-3.bam	Plate5	N/A	8.08	Exome
ASD-371-3-4	ASD-371-3-4	ASD-371-3-4.bam	/projects/gleeson-storage2/escott/aligned/ASD-371-3-4.bam	PlateIV	PlateIV_3	14.65	Exome
ASD-371-3-7	ASD-371-3-7	ASD-371-3-7.bam	/projects/gleeson-storage2/escott/aligned/ASD-371-3-7.bam	PlateIV	PlateIV_2	13.42	Exome
ASD-373-3-1	ASD-373-3-1	ASD-373-3-1.bam	/projects/gleeson-storage2/escott/aligned/ASD-373-3-1.bam	PlateIV	PlateIV_2	12.67	Exome
ASD-373-3-2	ASD-373-3-2	ASD-373-3-2.bam	/projects/gleeson-storage2/escott/aligned/ASD-373-3-2.bam	PlateIV	PlateIV_0	11.33	Exome
ASD-533-3-1	ASD-533-3-1	ASD-533-3-1.bam	/projects/gleeson-storage2/escott/aligned/ASD-533-3-1.bam	PlateV	N/A	10.27	Exome
ASD-533-3-2	ASD-533-3-2	ASD-533-3-2.bam	/projects/gleeson-storage2/escott/aligned/ASD-533-3-2.bam	PlateV	N/A	8.81	Exome
Ataxia-1239-3-2	Ataxia-1239-3-2	Ataxia-1239-3-2.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/Ataxia-1239-3-2.bam	PlateII	PlateII	13.23	Exome
Ataxia-2099-5-2	NDS-2099-5-2	NDS-2099-5-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2099-5-2.bam	PlateVI	PlateVI	9.04	Exome
Atrophy-1726-4-3	NDS-1726-4-3	NDS-1726-4-3.bam	/projects2/Plate7/ftp.broadinstitute.org/plate6/NDS-1726-4-3.bam	Plate7		6.53	Exome
AVED-1002-4-1	AVED-1002-4-1	AVED-1002-4-1.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/AVED-1002-4-1.bam	PlateI	PlateI	25.17	Exome
AVED-898-3-1	AVED-898-3-1	AVED-898-3-1.bam	/projects/gleeson-storage2/escott/aligned/AVED-898-3-1.bam	PlateIV	PlateIV_3	17.38	Exome
AVED-898-3-2	AVED-898-3-2	AVED-898-3-2.bam	/projects/gleeson-storage/escott/PlateI/hg19aligned/AVED-898-3-2.bam	PlateI	PlateI	18.08	Exome
AVED-898-3-3	AVED-898-3-3	AVED-898-3-3.bam	/projects/gleeson-storage2/escott/aligned/AVED-898-3-3.bam	PlateIV	PlateIV_1	7.24	Exome
BBS-CCH-1745-3-1	BBS-CCH-1745-3-1	BBS-CCH-1745-3-1.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/BBS-CCH-1745-3-1.bam	Plate5	N/A	10.45	Exome
BBS-CCH-1745-4-1	BBS-CCH-1745-4-1	BBS-CCH-1745-4-1.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/BBS-CCH-1745-4-1.bam	Plate5	N/A	12.01	Exome
BBS-CCH-1745-4-3	BBS-CCH-1745-4-3	BBS-CCH-1745-4-3.bam	/projects/gleeson-storage/gleeson/plate5/get.broadinstitute.org/pkgs/RT321240_Gleeson/NDS/BBS-CCH-1745-4-3.bam	Plate5	N/A	8.51	Exome
BBS-MTI-1491-5-1	BBS-MTI-1491-5-1	BBS-MTI-1491-5-1.bam	/projects/gleeson-storage2/escott/aligned/BBS-MTI-1491-5-1.bam	PlateV	N/A	11.17	Exome
BFPP-1289-I-4-2	BFPP-1289-I-4-2	BFPP-1289-I-4-2.bam	/projects/gleeson-storage/escott/PlateII/bamfiles/BFPP-1289-I-4-2.bam	PlateII	PlateII	13.29	Exome
BFPP-1289-II-4-3	BFPP-1289-II-4-3_wex1	BFPP-1289-II-4-3_wex1.bam	/projects/gleeson-storage/escott/PlateIII/bamfiles/BFPP-1289-II-4-3_wex1.bam	PlateIII	PlateIII	11.6	Exome
BPP-2117-3-1	NDS-2117-3-1	NDS-2117-3-1.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2117-3-1.bam	PlateVI	PlateVI	8.98	Exome
BPP-2117-3-2	NDS-2117-3-2	NDS-2117-3-2.bam	/projects2/Plate6/ftp.broadinstitute.org/BAMS/NDS-2117-3-2.bam	PlateVI	PlateVI	8.02	Exome
C021-1-E34	M15318	M15318_CGATGT-CGATGT_L001.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M15318_CGATGT-CGATGT_L001.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	7.26	Exome
C021-10-E43	M14037	M14037_CGATGT-CGATGT_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M14037_CGATGT-CGATGT_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	14.33	Exome
C021-100-E218	M_C021-100_005_005_ACAGTG-ACAGTG_L003	M_C021-100_005_005_ACAGTG-ACAGTG_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C021-100_005_005_ACAGTG-ACAGTG_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat2		7.54	Exome
C021-101-E219	M_C021-101_006_006_GCCAAT-GCCAAT_L003	M_C021-101_006_006_GCCAAT-GCCAAT_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C021-101_006_006_GCCAAT-GCCAAT_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.74	Exome
C021-102-E220	M_C021-102_007_007_CAGATC-CAGATC_L003	M_C021-102_007_007_CAGATC-CAGATC_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C021-102_007_007_CAGATC-CAGATC_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat2		9.96	Exome
C021-103-E221	M_C021-103_012_012_CTTGTA-CTTGTA_L003	M_C021-103_012_012_CTTGTA-CTTGTA_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C021-103_012_012_CTTGTA-CTTGTA_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.84	Exome
C021-104-E222	M_C021-104_002_002_CGATGT-CGATGT_L004	M_C021-104_002_002_CGATGT-CGATGT_L004.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C021-104_002_002_CGATGT-CGATGT_L004.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.58	Exome
C021-105-E223	M_C021-105_004_004_TGACCA-TGACCA_L004	M_C021-105_004_004_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	/projects2/murat2/aligned/M_C021-105_004_004_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	Murat2		8.44	Exome
C021-11-E44	Mcms5689a	Mcms5689a_CGATGT-CGATGT_L004.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/Mcms5689a_CGATGT-CGATGT_L004.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	14.31	Exome
C021-12-E45	M18507	M18507_CGATGT-CGATGT_L005.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M18507_CGATGT-CGATGT_L005.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	12.79	Exome
C021-13-E46	M14083b	M14083b_TGACCA-TGACCA_L001.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M14083b_TGACCA-TGACCA_L001.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	11.6	Exome
C021-14-E47	M16190	M16190_TGACCA-TGACCA_L002.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M16190_TGACCA-TGACCA_L002.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	8.85	Exome
C021-15-E48	Mcms17084	Mcms17084_TGACCA-TGACCA_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/Mcms17084_TGACCA-TGACCA_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	9.01	Exome
C021-16-E49	M13299	M13299_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M13299_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	8.29	Exome
C021-17-E50	M17330	M17330_TGACCA-TGACCA_L005.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M17330_TGACCA-TGACCA_L005.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	10.62	Exome
C021-18-E51	M12053	M12053_TGACCA-TGACCA_L006.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M12053_TGACCA-TGACCA_L006.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	8.66	Exome
C021-19-E52	M17894	M17894_TGACCA-TGACCA_L007.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M17894_TGACCA-TGACCA_L007.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	7.79	Exome
C021-2-E35	M15139	M15139_CGATGT-CGATGT_L002.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M15139_CGATGT-CGATGT_L002.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	8.77	Exome
C021-20-E53	M17751	M17751_TGACCA-TGACCA_L008.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M17751_TGACCA-TGACCA_L008.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	7.64	Exome
C021-21-E54	M13497	M13497_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M13497_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	9.17	Exome
C021-23-E55	M12728	M12728_TGACCA-TGACCA_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M12728_TGACCA-TGACCA_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	10.37	Exome
C021-24-E56	M16450	M16450_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M16450_TGACCA-TGACCA_L004.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	10.31	Exome
C021-25-E57	M6477	M6477_TGACCA-TGACCA_L005.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M6477_TGACCA-TGACCA_L005.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	10.62	Exome
C021-26-E58	M17207	M17207_ACAGTG-ACAGTG_L001.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M17207_ACAGTG-ACAGTG_L001.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	9.67	Exome
C021-27-E59	M12381	M12381_ACAGTG-ACAGTG_L002.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M12381_ACAGTG-ACAGTG_L002.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	10.07	Exome
C021-28-E60	M17770	M17770_ACAGTG-ACAGTG_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M17770_ACAGTG-ACAGTG_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	8.88	Exome
C021-29-E61	M12987	M12987_ACAGTG-ACAGTG_L004.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M12987_ACAGTG-ACAGTG_L004.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	8.78	Exome
C021-3-E36	M17713	M17713_CGATGT-CGATGT_L003.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M17713_CGATGT-CGATGT_L003.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	9.4	Exome
C021-30-E62	M12388	M12388_ACAGTG-ACAGTG_L005.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M12388_ACAGTG-ACAGTG_L005.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	9.73	Exome
C021-31-E63	M15725	M15725_ACAGTG-ACAGTG_L006.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M15725_ACAGTG-ACAGTG_L006.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	11.38	Exome
C021-32-E64	M14462	M14462_ACAGTG-ACAGTG_L007.ided.sort.dedup.indaln.mate.recal.bam	/projects/gleeson-storage/escott/murat1/aligned/M14462_ACAGTG-ACAGTG_L007.ided.sort.dedup.indaln.mate.recal.bam	Murat1	Greenwood	5.32	Exome
